"country","region","city_state","codes_list"
"Ukraine","Kharkiv Oblast, Kolomatskyi","Yavtukhivka","[""63110""]"
"Japan","Shizuoka Ken, Shizuoka Shi","Yui Nishikurasawa","[""421-3115""]"
"Nigeria","Rivers, Omuma","Eberi","[""512102""]"
"Russian Federation","Rostovskaya Oblast","Komsomolskiy","[""347201""]"
"Lithuania","Utena County","Patales K.","[""28048""]"
"Japan","Kumamoto Ken, Yatsushiro Shi","Kawatamachi Higashi","[""869-4615""]"
"Spain","Asturias","Argame","[""33163""]"
"Belarus","Mogilev Province, Chavusy District, Voynilovskiy Council","Novo-Vasilevsk","[""213211""]"
"Ukraine","Odessa Oblast, Kominternivskyi","Kryzhanivka","[""67562""]"
"Czech Republic","Plzensky Kraj","Chrastovice","[""331 41""]"
"Japan","Tokyo To, Shinjuku Ku","Nishishinjuku Shinjuku Sentabiru(29","[""163-0629""]"
"Australia","New South Wales","Touga","[""2622""]"
"Switzerland","Canton De Berne, Thun District, Stocken-Hofen","Oberstocken","[""3632""]"
"Spain","Castilla - Leon, Soria","Almazan","[""42200""]"
"Norway","Vestland, Stryn","Innvik","[""6793"",""6794""]"
"United States","Maryland, Allegany","Corriganville","[""21524""]"
"Poland","Swietokrzyskie, Powiat Pinczowski","Pozelow","[""28-440""]"
"Mexico","Quintana Roo","La Sabanita","[""77923""]"
"Japan","Hokkaido, Yamakoshi Gun","Omine","[""049-3501""]"
"Indonesia","Kalimantan Central, Pulang Pisau","Kahayan Kuala","[""73572"",""74872""]"
"Japan","Hyogo Ken, Shiso Shi","Yamasakicho Sembonya","[""671-2544""]"
"Ukraine","Donetsk Oblast, Starobeshivskyi","Zernove","[""87241""]"
"Italy","Calabria, Vibo Valentia","Fitili","[""89861""]"
"Spain","Asturias","Calella, La","[""33161""]"
"India","Gujarat, Mahesana","Santhal","[""384430""]"
"Japan","Chiba Ken, Tomisato Shi","Tatsuzawashinden","[""286-0215""]"
"Turkey","Sanliurfa, Halfeti","Bulakli","[""63950""]"
"China","Henan, Xichuan County","Xihuang Township","[""474495""]"
"India","Maharashtra, Ahmed Nagar, Parner","Vaghunde Kh","[""414301""]"
"United States","Tennessee, Davidson","Joelton","[""37080""]"
"Greece","North Aegean, Samos","Efdilos","[""833""]"
"Japan","Kanagawa Ken, Yokohama Shi","Horinochicho","[""232-0042""]"
"Mexico","Michoacan De Ocampo","El Rancho","[""61546""]"
"Austria","Karnten, Politischer Bezirk Spittal An Der Drau, Rennweg Am Katschberg","Adenberg","[""9863""]"
"Nigeria","Kwara, Asa, Onire","Budo Igboroko Keke","[""240106""]"
"Argentina","Catamarca","Isla Larga","[""4711""]"
"United Kingdom","England, North Yorkshire","Beamsley","[""BD23""]"
"Bangladesh","Chittagong","Solla","[""3875""]"
"Spain","Navarra","Domeno","[""31454""]"
