"country","region","city_state","codes_list"
"Russian Federation","Adygeya Respublika","Ignatevskiy","[""385430""]"
"India","Punjab, Moga","Salina","[""142048""]"
"Mexico","Michoacan De Ocampo","Las Haciendas","[""60136"",""60885""]"
"Japan","Hokkaido, Asahikawa Shi","Omachi1-Jo","[""070-0841""]"
"Croatia","Istarska","Antonci","[""52440""]"
"Mexico","Durango","Mexico Y Los Lirios","[""35360""]"
"Russian Federation","Arhangelskaya Oblast","Kotlas 12","[""165312""]"
"Ukraine","Cherkasy Oblast, Drabivskyi","Kononivka,selyshche","[""19810""]"
"Italy","Piemonte, Cuneo","Polonghera","[""12030""]"
"China","Jilin, Baishan City","Dashiren Township","[""134332""]"
"France","Pays De La Loire, Sarthe","Fresnay-Sur-Sarthe","[""72130""]"
"Argentina","Mendoza","Bajo Lunlunta","[""5517""]"
"Kazakhstan","Karagandy, Agadyr","Verkhnie Kairakty","[""101716""]"
"India","Karnataka, Kodagu, Somwarpet","Mudravalli","[""571235""]"
"Russian Federation","Severnaya Osetiya-Alaniya Respublika","Buron","[""363224""]"
"Mexico","Jalisco","Escalofrio De Santa Fe","[""45463""]"
"India","Odisha, Kendujhar, Anandapur","Tarimul","[""758025""]"
"Pakistan","Punjab","Adda Gambeer","[""57460""]"
"Japan","Toyama Ken, Himi Shi","Nakayachi","[""935-0055""]"
"Austria","Karnten, Politischer Bezirk Spittal An Der Drau, Greifenburg","Amlach","[""9761""]"
"Poland","Greater Poland, Powiat Sredzki","Michalow","[""63-040""]"
"Czech Republic","Jihocesky Kraj","Hostisovice","[""388 01""]"
"Ukraine","Zhytomyr Oblast, Ovrutskyi","Korchivka","[""11102""]"
"France","Occitanie, Tarn-Et-Garonne","Saint-Jean-Du-Bouzet","[""82120""]"
"Belarus","Vitebsk Province, Verkhnedvinsk District, Dernovichskiy Council","Sloboda","[""211605""]"
"Mexico","Tamaulipas","Miramar","[""89540"",""89604""]"
"Spain","Castilla - Leon, Leon","San Cibrian De Ardon","[""24232""]"
"Hungary","Zala","Egeraracsa","[""8765""]"
"Ukraine","Ivano-Frankivsk Oblast, Nadvirnianskyi","Chorni Oslavy","[""78462""]"
"Poland","Swietokrzyskie, Powiat Buski","Kepa Lubawska","[""28-133""]"
"France","Auvergne-Rhone-Alpes, Ain","Beligneux","[""01360""]"
"United Kingdom","England, Surrey","The Sands","[""GU10""]"
"Slovakia","Nitriansky Kraj","Holotka","[""951 42""]"
"Japan","Hokkaido, Sapporo Shi","Utsukushigaoka 5-Jo","[""004-0815""]"
"Germany","Bayern","Aidhausen","[""97491""]"
"Nigeria","Rivers, Tai","Kenkoro","[""501102""]"
"Japan","Kochi Ken, Takaoka Gun","Mineko","[""789-1225""]"
"Bulgaria","Gabrovo","Boycheta","[""5309""]"
"Spain","Pais Vasco, Vizcaya","Maruri-Jatabe","[""48112""]"
"Peru","Loreto, Ucayali, Padre Marquez","Tiruntan","[""16491""]"
"Israel","Judea And Samaria","Nofim","[""4484100""]"
"India","West Bengal, Hooghly, Khanakul2B","Palaspai","[""712416""]"
"Japan","Oita Ken, Oita Shi","Ikanikeisaiganaibaai","[""870-0100""]"
"Spain","Murcia","Alamillo","[""30868""]"
"France","Nouvelle-Aquitaine, Charente-Maritime","Saint-Quantin-De-Rancanne","[""17800""]"
"Colombia","Quindio, Calarca","La Leona","[""632008""]"
"Mexico","Chihuahua","Los Horcones","[""31986""]"
"Argentina","La Pampa","Las Tres Hermanas","[""6331""]"
"Ecuador","Imbabura, Ibarra","Ambuqui","[""100151""]"
"France","Grand Est, Meurthe-Et-Moselle","Roville-Devant-Bayon","[""54290""]"
"Japan","Hokkaido, Esashi Gun","Kanzaki","[""098-5562""]"
"Austria","Karnten, Politischer Bezirk Sankt Veit An Der Glan, St. Georgen Am Langsee","St. Peter","[""9313""]"
"Russian Federation","Moskovskaya Oblast","Semenovo","[""142522""]"
"Brazil","Sao Paulo","Promissao","[""16370-000""]"
"Slovenia",,"Radlje Ob Dravi","[""2360""]"
"Australia","Western Australia, Kalgoorlie","Little Italy","[""6355""]"
"United Kingdom","Wales, Isle Of Anglesey","Llanbadrig","[""LL67""]"
"United Kingdom","Wales, Gwynedd","Tal-Y-Llyn","[""LL36""]"
"United Kingdom","Wales, Carmarthenshire","Pwll","[""SA15""]"
"Australia","New South Wales, Illawarra","Koonawarra","[""2530""]"
"Australia","Victoria, Vic Far Country","Musk","[""3461""]"
"Australia","Western Australia, Kalgoorlie","Broomehill East","[""6318""]"
"Australia","Queensland, Toowoomba Se Cnr","Cheepie","[""4475""]"
"Australia","New South Wales, Hunter","Millers Forest","[""2324""]"
"Australia","Queensland, Toowoomba Se Cnr","Chelmsford","[""4606""]"
"France","Auvergne-Rhone-Alpes, Puy-De-Dome","Bansat","[""63570""]"
"Colombia","Santander, Sabana De Torres","Llanogrande","[""687008""]"
"Croatia","Dubrovacko-Neretvanska","Komarna","[""20355""]"
"Mexico","Puebla","Atlixco Centro","[""74200""]"
"Mexico","Puebla","El Mayorazgo","[""72456""]"
"Mexico","Puebla","Maestro Federal","[""72080""]"
"Mexico","Puebla","Reyeshogpan De Hidalgo","[""73566""]"
"Mexico","Puebla","Yehualtepec","[""75670""]"
"Mexico","Veracruz De Ignacio De La Llave","El Bosque Segunda Seccion","[""96640""]"
"Mexico","Veracruz De Ignacio De La Llave","Hidalgo","[""91143"",""92037"",""92910"",""93653"",""94964"",""95333"",""95396"",""95839"",""96100"",""96106"",""96980""]"
"Mexico","Veracruz De Ignacio De La Llave","Las Puertas","[""94263""]"
"Mexico","Veracruz De Ignacio De La Llave","Leonardo Lara Garcia","[""96300""]"
"Mexico","Veracruz De Ignacio De La Llave","Poblado 5","[""96940""]"
"Mexico","Veracruz De Ignacio De La Llave","Santa Clara 2","[""92106""]"
"Russian Federation","Vologodskaya Oblast","Prokunino","[""160552""]"
"Russian Federation","Stavropolskiy Kray","Kommayak","[""357313""]"
"Mexico","Sinaloa","Las Garzas","[""81048"",""81490""]"
"Mexico","Sinaloa","Renato Vega Amador","[""80280"",""80430"",""80450"",""81095""]"
"China","Guangdong, Guangzhou City","Julongshijing Zhen","[""510435""]"
"Japan","Miyazaki Ken, Miyazaki Shi","Ehira Nishi","[""880-0051""]"
"Russian Federation","Omskaya Oblast","Roschinskiy","[""646978""]"
"India","Kerala, Malappuram, Nilambur","Tharis","[""676523""]"
"Serbia","Centralna Srbija, Jablanica, Lebane","Sekicol","[""16230""]"
"China","Chongqing, Dianjiang County","Taiping Township","[""408307""]"
"Poland","Podlasie, Powiat Wysokomazowiecki","Makowo","[""18-204""]"
"Kazakhstan","North Kazakhstan, Musrepova Region","Andreevka","[""150402""]"
"Poland","Pomerania, Powiat Wejherowski","Lebno","[""84-217""]"
"Peru","Apurimac, Grau, Virundo","Sayhua","[""03360""]"
"Portugal","Leiria","Regueira De Pontes","[""2415-026"",""2415-190"",""2415-191"",""2415-192"",""2415-193"",""2415-194"",""2415-195"",""2415-196"",""2415-197"",""2415-198"",""2415-199"",""2415-200"",""2415-201"",""2415-202"",""2415-203"",""2415-204"",""2415-205"",""2415-206"",""2415-207"",""2415-208"",""2415-209"",""2415-210"",""2415-211"",""2415-212"",""2415-213""]"
"Algeria","Tissemsilt","Ghazlia","[""38002""]"
"Belarus","Minsk Province, Myadzel District, Slobodskiy Council","Konstantinovo","[""222392""]"
"Indonesia","Java West, Cirebon","Perbutulan","[""45613""]"
"Argentina","Entre Rios","Cantera La Constancia","[""3287""]"
"Switzerland","Canton Du Valais, Entremont District, Liddes","Chez Petit","[""1945""]"
"India","Odisha, Sundergarh, Lahunipara","Roxy","[""770040""]"
"Ukraine","Sumy Oblast, Sumskyi","Chervona Dibrova","[""42350""]"
"United States","California, San Joaquin","Thornton","[""95686""]"
"Colombia","Cauca, Popayan","La Meseta","[""190007""]"
"Belarus","Brest Province, Luninets District, Bostynskiy Council","Krivyach","[""225654""]"
"Spain","Cataluna, Girona","Veinat De Ganix","[""17240""]"
"Algeria","Ain-Defla","Sidi Bouabida","[""44026""]"
"Ukraine","Volyn Oblast, Ratnivskyi","Postupel","[""44163""]"
"Japan","Ishikawa Ken, Kanazawa Shi","Nakaya","[""920-0381""]"
"Lithuania","Panevezys","Sb ÂGijaâ","[""38067""]"
"Germany","Thuringen","Zadelsdorf","[""07937""]"
"United States","North Carolina, Bertie","Roxobel","[""27872""]"
"Afghanistan","Kapisa, Tagab","Kakar","[""1256""]"
"Japan","Yamanashi Ken, Hokuto Shi","Hakushucho Yokote","[""408-0313""]"
"Japan","Gifu Ken, Gifu Shi","Kano Jonandori","[""500-8486""]"
"Poland","Opole Voivodeship, Powiat Opolski","Zimnice Wielkie","[""46-060""]"
"Russian Federation","Kabardino-Balkarskaya Respublika","Mayskiy 2","[""361112""]"
"Japan","Kyoto Fu, Kyoto Shi","Shoshinjicho","[""600-8116""]"
"Vietnam","Dong Bang Song Hong, Ha Noi, Tay Ho","Cam Yen","[""000000""]"
"Japan","Kanagawa Ken, Hadano Shi","Terayama","[""257-0023""]"
"Hungary","Baranya","Villany","[""7773""]"
"India","Jammu & Kashmir, Kathua","Logate","[""184104""]"
"Japan","Saitama Ken, Hiki Gun","Kachida","[""355-0203""]"
"Japan","Kagawa Ken, Marugame Shi","Hiroshimachokoro","[""763-0104""]"
"Lithuania","Marijampole County","Pavarteliu K.","[""70037""]"
"China","Hunan, Liling City","ChanglianChangtanJianjiang","[""412225""]"
"Italy","Trentino-Alto Adige, Bolzano-Bozen","Campil","[""39030""]"
"Spain","Aragon, Zaragoza","Rueda De Jalon","[""50295""]"
"Turkey","Bursa, Orhaneli","Celepler","[""16980""]"
"Mexico","Oaxaca","Santa Maria Josaa","[""68728""]"
"Japan","Shizuoka Ken, Sunto Gun","Nagasawa","[""411-8611"",""411-8610"",""411-0905""]"
"United States","California, Santa Barbara","Goleta","[""93116"",""93117"",""93118"",""93199""]"
"Australia","South Australia","Verran","[""5603""]"
"Peru","La Libertad, Gran Chimu, Cascas","La Manzana","[""13780""]"
"Austria","Niederosterreich, Politischer Bezirk Melk, Mank","Grosaigen","[""3240""]"
"Kazakhstan","Akmola, Shortandy","Novoselovka","[""021611""]"
"Russian Federation","Ryazanskaya Oblast","Morozovy Borki","[""391950""]"
"Mexico","Morelos","Lomas De Texcal","[""62574""]"
"Spain","Galicia, Lugo","Foz","[""27780"",""27780""]"
"Russian Federation","Moskva","Moskva-Gtsmpp 276","[""102276""]"
"Colombia","Quindio, Filandia","El Vigilante","[""634008""]"
"China","Jiangsu, Changshu City","Liantang Town","[""215551""]"
"Mexico","Jalisco","El Camalote","[""48826""]"
"Mexico","San Luis Potosi","Unidad Ponciano Arriaga 3A Seccion","[""78390""]"
"Indonesia","East Nusa Tenggara, Sikka","Nangameting","[""86118""]"
"Lithuania","Vilniaus Apskritis","Burtkaimio K.","[""20012""]"
"Indonesia","Java East, Bondowoso","Sukosari","[""68287""]"
"Romania","Suceava","Burla","[""727616""]"
"Argentina","Chubut","Buen Pasto","[""9023""]"
"Guatemala","Depto De Escuintla","Tiquisate","[""05006""]"
"Spain","Galicia, A Coruna","Poligono Industrial As Somozas","[""15565""]"
"Argentina","Tucuman","Espinal","[""4137""]"
"Latvia","Daugavpils Novads, Sventes Pagasts","Silupe","[""LV""]"
"Afghanistan","Farah","Karje Mir Ahmad","[""3101""]"
"India","Rajasthan, Dungarpur","Galiakot","[""314026""]"
"Poland","Pomerania, Powiat Koscierski","Stare Slone","[""83-425""]"
"Russian Federation","Udmurtskaya Respublika","Pochinki","[""427690""]"
"Latvia","Jurmala","Amatas Iela","[""LV""]"
"China","Beijing, Miyun County","Dachengzi Township","[""101502""]"
"China","Anhui, Taihu County","Shanlong Township","[""246416""]"
"Moldova","Ribnita Tr.","Ghersunovca","[""MD-5535""]"
"India","West Bengal, West Midnapore, Bakrachak","Bakrachak","[""721135""]"
"Russian Federation","Leningradskaya Oblast","Gavrilovo","[""188870""]"
"Russian Federation","Volgogradskaya Oblast","Smorodino","[""403813""]"
"France","Hauts-De-France, Oise","Les Ageux","[""60700""]"
"Nigeria","Ondo, Ose, Ute","Aso-Finch","[""341119""]"
"Mexico","Guerrero","Bataz","[""40976""]"
"Lithuania","Marijampole County","Kiaulupiu K.","[""71001""]"
"Nigeria","Kano, Dambatta, Danbatta","Fogolawa","[""702104""]"
"Nigeria","Kwara, Asa, Afon","Igboroko-Isale","[""240104""]"
"Japan","Tottori Ken, Hino Gun","Maruyama","[""689-5213""]"
"Ukraine","Ternopil Oblast, Monastyryskyi","Zalissia","[""48351""]"
"Cambodia","Tbong Khmum, Ou Reang Ov, Preah Theat","Phum Mpheypram","[""03357""]"
"Spain","Murcia","Alto Palomo","[""30540""]"
"Japan","Hiroshima Ken, Fukuyama Shi","Ekiyacho Hattorinagatani","[""720-2522""]"
"Mexico","Tabasco","Lagartera 2A Secc","[""86276""]"
"Japan","Yamaguchi Ken, Iwakuni Shi","Atagomachi","[""740-0037"",""740-8510""]"
"Spain","Galicia, Pontevedra","Cumieira De Riba","[""36770""]"
"India","Jammu & Kashmir, Kupwara","Khumriyal","[""193222""]"
"Austria","Oberosterreich, Politischer Bezirk Vocklabruck, Ottnang Am Hausruck","Grub","[""4901""]"
"Australia","Victoria","Bullumwaal","[""3875""]"
"France","Grand Est, Aube","Arcis-Sur-Aube","[""10700""]"
"Spain","Cantabria","Riancho","[""39809""]"
"India","Andhra Pradesh, Kurnool","Allur","[""518432""]"
"Ukraine","Mykolaiv Oblast, Pervomaiskyi","Katerynka","[""55263""]"
"France","Bretagne, Ille-Et-Vilaine","Saint-Didier","[""35220""]"
"United States","Illinois, Tazewell","Mackinaw","[""61755""]"
"Germany","Bayern","Salching","[""94330""]"
"Spain","Comunidad Valenciana, Valencia","Alpuente","[""46178""]"
"Latvia","Krustpils Novads, Kuku Pagasts","Lamani","[""LV""]"
"Ukraine","Luhansk Oblast, Troitskyi","Krasna Chapliivka","[""92123""]"
"Japan","Okayama Ken, Mimasaka Shi","Suzuke","[""709-4256""]"
"China","Jiangxi, Ningdu County","Huitong Township","[""342801""]"
"Nigeria","Kaduna, Sanga, Aboro","Wakili Fulani Antor","[""801129""]"
"United States","Montana, Stillwater","Park City","[""59063""]"
"Peru","San Martin, Tocache","Alto Huaquisha Bombonaje","[""22540""]"
"Belarus","Vitebsk Province, Dubrovno District, Klenovskiy Council","Lyahovka","[""211590""]"
"Algeria","Setif","Izougaghene Mechtal","[""19028""]"
"Japan","Fukushima Ken, Ishikawa Gun","Yomogidashinden","[""963-8201""]"
"Japan","Hokkaido, Abashiri Gun","Toyotomi","[""092-0023""]"
"Nigeria","Benue, Kwande, Nanev","Iyon-Mbahav","[""982101""]"
"India","Bihar, Samastipur","Kashipur","[""848101""]"
"Afghanistan","Faryab, Qaysar","Kohi","[""1863""]"
"Poland","Greater Poland, Powiat Kepinski","Nieprosin","[""63-642""]"
"Poland","Greater Poland, Powiat Sremski","Orkowo","[""63-100""]"
"Russian Federation","Bashkortostan Respublika","Taymeevo","[""452484""]"
"Russian Federation","Ulyanovskaya Oblast","Klyuchiki","[""433817""]"
"Russian Federation","Smolenskaya Oblast","Krasnyy Holm","[""215247""]"
"Brazil","Mato Grosso","Brasnorte","[""78350-000""]"
"Nigeria","Kwara, Ifelodun, Idofin","Idofin","[""241112""]"
"Belarus","Vitebsk Province, Miory District, Dvornoselskiy Council","Stefanovo","[""211938""]"
"Russian Federation","Sverdlovskaya Oblast","Verhnyaya Sinyachiha 1","[""624691""]"
"Romania","Covasna","Valea Mica","[""527046""]"
"India","Jharkhand, Giridh, Dhanwar","Hemrodih","[""825412""]"
"Latvia","Rezekne","Lauku Iela","[""LV""]"
"Colombia","Cauca, Caloto","El Arrayan","[""191077""]"
"Mexico","Michoacan De Ocampo","Chalmita","[""61082""]"
"Spain","Canarias, Santa Cruz De Tenerife","Los Acevinos","[""38890""]"
"Ukraine","Vinnytsia Oblast, Orativskyi","Sabarivka","[""22651""]"
"Colombia","Huila, Guadalupe","Chorrillos","[""416048""]"
"Japan","Nagano Ken, Ueda Shi","Yamada","[""386-1432""]"
"Russian Federation","Dagestan Respublika","Bolshebredihinskiy","[""368811""]"
"Poland","Silesia, Powiat Myszkowski","Stara Huta","[""42-350""]"
"Japan","Gifu Ken, Gifu Shi","Manrikicho","[""500-8044""]"
"Algeria","Tlemcen","Dahar","[""13014""]"
"Nigeria","Ogun, Ado-Odo/ota, Igbesa","Isaga Onlado","[""112102""]"
"Japan","Aichi Ken, Kasugai Shi","Hayashijimacho","[""486-0854""]"
"Belarus","Minsk Province, Lahoisk District, Kamenskiy Council","Staeckie","[""223132""]"
"Estonia","Laane-Virumaa, Vaike-Maarja","Pudivere","[""46225""]"
"Ukraine","Sumy Oblast, Lebedynskyi","Lyfyne","[""42240""]"
"Chile","Los Lagos, Chiloe, Quemchi","Isla Tac","[""5720000""]"
"Japan","Hiroshima Ken, Hiroshima Shi","Yahatahigashi","[""731-5115""]"
"Japan","Aichi Ken, Inazawa Shi","Ibori Gamarokucho","[""492-8467""]"
"India","Punjab, Moga","Khosa Randhir","[""152028""]"
"China","Shandong, Linyi City","Zaogoutou Township","[""276038""]"
"Japan","Hokkaido, Kushiro Shi","Akancho Okurushube","[""085-0468""]"
"France","Centre-Val De Loire, Eure-Et-Loir","Saint-Prest","[""28300""]"
"Austria","Oberosterreich, Politischer Bezirk Ried Im Innkreis, Mettmach","Jagleck","[""4931""]"
"Austria","Karnten, Politischer Bezirk Hermagor, Kotschach-Mauthen","Strajach","[""9651""]"
"France","Hauts-De-France, Oise","Fresneaux-Montchevreuil","[""60240""]"
"China","Hunan, Yuanling County","Guanzhuang Town","[""419605""]"
"Czech Republic","Jihocesky Kraj","Hospriz","[""377 01""]"
"Nigeria","Oyo, Iwajowa, Idiko Ago / Itasa / Ayetoroile","Dauda Village","[""202114""]"
"India","Madhya Pradesh, Rewa, Raipur - Karchuliyan","Naudhia","[""486114""]"
"Italy","Friuli-Venezia Giulia, Udine","Villanova Di San Daniele","[""33038""]"
"Italy","Marche, Macerata","Potenza Picena","[""62018""]"
"Czech Republic","Liberecky Kraj","Loukovicky","[""463 43""]"
"Mexico","Zacatecas","San Jose De Felix","[""99109""]"
"Japan","Hyogo Ken, Kobe Shi","Kitamaiko","[""655-0045""]"
"Mexico","Oaxaca","Fidel Pena Hernandez","[""70046""]"
"Japan","Shizuoka Ken, Susono Shi","Momozono","[""410-1126""]"
"Nigeria","Sokoto, Tambuwal, Tambawal","Bagida","[""850101""]"
"Japan","Saga Ken, Saga Shi","Kononishi","[""840-0805""]"
"Germany","Sachsen-Anhalt","Harsleben","[""38829""]"
"Japan","Fukui Ken, Echizen Shi","Shimoodacho","[""915-0881""]"
"Thailand","Khon Kaen","Ban Phai","[""40110""]"
"Russian Federation","Ryazanskaya Oblast","Fedorovskoe","[""391759""]"
"Finland","North Karelia, Joensuu","Heinavaara","[""82110""]"
"China","Yunnan, Luliang County","Zhaokua Town","[""655606""]"
"Japan","Hyogo Ken, Himeji Shi","Chiyodamachi","[""670-0993""]"
"Japan","Kyoto Fu, Kyoto Shi","Nishikujo Zaocho","[""601-8414""]"
"India","Rajasthan, Udaipur, Gogunda","Rao Madra","[""313708""]"
"Nigeria","Benue, Okpokwu, Owukpa","Iga-Uroko","[""973103""]"
"Afghanistan","Baghlan, Baghlani Jadid","Khalid Zai","[""3661""]"
"Poland","Warmia-Masuria, Powiat Szczycienski","Chochol","[""12-140"",""12-150""]"
"United States","New Jersey, Camden","Collingswood","[""08108""]"
"France","Auvergne-Rhone-Alpes, Savoie","Orelle","[""73140""]"
"Mexico","Guanajuato","Moctezuma","[""38035""]"
"Lithuania","Panevezys","Labiskio K.","[""42022""]"
"Poland","Lodz Voivodeship, Powiat Wieruszowski","Siedliska","[""98-420""]"
"Argentina","Salta","Capitan Juan Page","[""4554""]"
"Argentina","Cordoba","Pampayasta Sud","[""5931""]"
"Japan","Aichi Ken, Tahara Shi","Hazecho","[""441-3406""]"
"Poland","Warmia-Masuria, Powiat Bartoszycki","Kicina","[""11-200""]"
"France","Nouvelle-Aquitaine, Gironde","Saint-Seurin-De-Bourg","[""33710""]"
"Spain","Galicia, Ourense","San Estebo De Novoa","[""32416""]"
"India","West Bengal, Malda, Kaliachak","Gayeshbari","[""732206""]"
"United Kingdom","England, Warwickshire","Knightcote","[""CV33""]"
"Philippines",,"Baesa","[""1106"",""1401""]"
"Philippines",,"Batad","[""5016""]"
"France","Occitanie, Lot","Ginouillac","[""46300""]"
"South Africa",,"Lavender Hill","[""7945""]"
"South Africa",,"Marquard","[""9610""]"
"Germany","Rheinland-Pfalz","Haschbach Am Remigiusberg","[""66871""]"
"Germany","Rheinland-Pfalz","Nochern","[""56357""]"
"Spain","Extremadura, Caceres","El Pino","[""10514""]"
"Canada","Quebec, Montreal","Westmount West","[""H3Y""]"
"Spain","Comunidad Valenciana, Alicante","Almajal","[""03360""]"
"Spain","Comunidad Valenciana, Alicante","Canor","[""03720""]"
"France","Grand Est, Meuse","Landrecourt-Lempire","[""55100""]"
"Czech Republic","Stredocesky Kraj","Burinsko 2.Dil","[""294 13""]"
"Czech Republic","Stredocesky Kraj","Radesice","[""264 01""]"
"Maldives","Male, Janavaree Magu","Velasfaruge Aage","[""20047""]"
"United Kingdom","England, Greater London","Broad Street","[""EC2""]"
"United Kingdom","England, Greater London","St Paul's","[""EC4""]"
"Romania","Caras-Severin","Mal","[""325702""]"
"China","Chongqing, Hechuan County","Dashi Township","[""401546""]"
"Spain","Asturias","Penouta","[""33720"",""33888""]"
"Kazakhstan","North Kazakhstan, Akkayin","Astrakhanka","[""150301""]"
"Spain","Galicia, Lugo","Ferreiros Balboa","[""27647""]"
"Peru","Ayacucho, Parinacochas, Coracora","Poccoray","[""05610""]"
"Switzerland","Kanton Thurgau, Weinfelden District, Wigoltingen","Mullheim-Wigoltingen","[""8554""]"
"Russian Federation","Tverskaya Oblast","Kaschenki","[""172450""]"
"Japan","Tokushima Ken, Awa Shi","Awacho Daijiro","[""771-1702""]"
"United States","Nebraska, Saline","Friend","[""68359""]"
"Turkey","Mersin, Anamur","Ucari","[""33660""]"
"Nigeria","Cross River, Bakassi, Ikot Naka-Nda","Efe Efik Imaha","[""541111""]"
"Japan","Tokyo To, Chiyoda Ku","Marunochi Tokyobirudeingu","[""100-6401"",""100-6402"",""100-6403"",""100-6404"",""100-6405"",""100-6406"",""100-6407"",""100-6408"",""100-6409"",""100-6410"",""100-6411"",""100-6412"",""100-6413"",""100-6414"",""100-6415"",""100-6416"",""100-6417"",""100-6418"",""100-6419"",""100-6420"",""100-6421"",""100-6422"",""100-6423"",""100-6424"",""100-6425"",""100-6426"",""100-6427"",""100-6428"",""100-6429"",""100-6430"",""100-6431"",""100-6432"",""100-6433""]"
"India","Gujarat, Narmada, Nandod","Shehrav","[""393150""]"
"Peru","Ayacucho, Victor Fajardo, Huaya","Tunio","[""05430""]"
"Mexico","Nuevo Leon","Las Espigas 2Do Sector","[""67485""]"
"Nigeria","Niger, Magama, Auna","Malela","[""923106""]"
"Maldives","Male, Daisy Magu","Pompiyage","[""20130""]"
"Japan","Niigata Ken, Niigata Shi","Kawagishicho","[""951-8133""]"
"Czech Republic","Pardubicky Kraj","Skuticko","[""539 73""]"
"Japan","Aichi Ken, Nagoya Shi","Atsuta Nishimachi","[""456-0036""]"
"Japan","Nara Ken, Yamatotakada Shi","Ide","[""635-0043""]"
"Russian Federation","Tambovskaya Oblast","Zemlyanskiy","[""393333""]"
"Australia","Northern Territory","Livingstone","[""0822""]"
"Italy","Lazio, Roma","Bracciano","[""00062""]"
"Japan","Fukui Ken, Echizen Shi","Myohojicho","[""915-0844""]"
"Nigeria","Kaduna, Lere","Abadawa","[""811104""]"
"Japan","Nagasaki Ken, Minamishimabara Shi","Ariecho Nakasukawa","[""859-2206""]"
"Ukraine","Poltava Oblast, Khorolskyi","Novoivanivka","[""37863""]"
"Italy","Veneto, Verona","San Vito Al Mantico","[""37012""]"
"Mexico","Oaxaca","1A Etapa Ivo Fraccionamiento El Rosario","[""71323""]"
"Mexico","Jalisco","Belen Del Refugio","[""47220""]"
"France","Nouvelle-Aquitaine, Charente-Maritime","Saint-Gregoire-D'ardennes","[""17240""]"
"Spain","Galicia, Ourense","Barxacova","[""32748""]"
"Indonesia","Java East, Surabaya","Sawunggaling","[""60242""]"
"China","Heilongjiang, Sunwu County","Xinxing Township","[""164201""]"
"Mexico","Hidalgo","Acuatempa","[""43016""]"
"Mexico","Sonora","Fuentes Del Bosque","[""85130""]"
"Romania","Bihor","Cociuba Mare","[""417200""]"
"Japan","Hiroshima Ken, Hiroshima Shi","Takata","[""733-0851""]"
"Japan","Ishikawa Ken, Nanao Shi","Nakajimamachi Furue","[""929-2208""]"
"Italy","Emilia-Romagna, Bologna","Marzabotto","[""40043""]"
"Japan","Kagawa Ken, Sakaide Shi","Komadomecho","[""762-0032""]"
"Turkey","Sanliurfa, Siverek","Turna","[""63600""]"
"Russian Federation","Tomskaya Oblast","Kargasok 1","[""636701""]"
"India","Uttarakhand, Pauri Garhwal, Pauri","Ghiri","[""246159""]"
"Greece","East Macedonia And Thrace, Evros","Kiprinos","[""680""]"
"Belarus","Vitebsk Province, Beshankovichy District, Plisskiy Council","Zamoshene","[""211363""]"
"Mexico","Guerrero","Villas Xcaret","[""39897""]"
"Estonia","Raplamaa, Kohila","AespaPohala","[""79736""]"
"Russian Federation","Kostromskaya Oblast","Kuzmischi","[""156520""]"
"Italy","Veneto, Rovigo","Fratta Polesine","[""45025""]"
"Tunisia","Medenine, Beni Khedache","Ksar Jouamaa","[""4110""]"
"Japan","Iwate Ken, Kitakami Shi","Ryutsusenta","[""024-0014"",""024-8505""]"
"Belarus","Gomel Province, Rahacou District, Zabolotskiy Council","Osinniki","[""247281""]"
"Belarus","Gomel Province, Zytkavicy District, Bronislavskiy Council","Zagate","[""247972""]"
"Germany","Sachsen","Venusberg","[""09430""]"
"Japan","Okinawa Ken, Okinawa Shi","Matsumoto","[""904-2192"",""904-2151""]"
"India","West Bengal, East Midnapore, Tagaria","Tagaria","[""721433""]"
"Poland","Lodz Voivodeship, Powiat Rawski","Pokrzywna","[""96-200""]"
"Indonesia","East Nusa Tenggara, Sumba Timur","Pahungalodu","[""87182""]"
"Algeria","Medea","Ouled Sid Daoud","[""26026""]"
"Nigeria","Adamawa, Gombi, Ga'anda","Dangwara","[""652101""]"
"Estonia","Jogevamaa, Saare","Jaama","[""49304""]"
"Japan","Tokyo To, Chiyoda Ku","Marunochi Gurantokyo Sausutawa(28-K","[""100-6628""]"
"Cambodia","Tbong Khmum, Ponhea Kraek, Doun Tei","Reul Leu","[""03207""]"
"Mexico","Oaxaca","Llano Metate","[""71387"",""71388""]"
"United States","Massachusetts, Middlesex","Sudbury","[""01776""]"
"Austria","Steiermark, Politischer Bezirk Deutschlandsberg, Sankt Peter Im Sulmtal","Poppenforst","[""8542""]"
"Turkey","Adana, Kozan","Karabucak","[""01500""]"
"Nigeria","Akwa Ibom, Ibeno, Ikpanya","Ikot Adaha","[""520119""]"
"Poland","Mazovia, Powiat Zyrardowski","Pienki-Strzyze","[""96-320""]"
"China","Shandong, Gaoqing County","Changjia Township","[""256300""]"
"Ukraine","Dnipropetrovsk Oblast, Petropavlivskyi","Novoverbske","[""52705""]"
"India","Kerala, Pathanamthitta, Kozhenchery","Vazhamuttom East","[""689646""]"
"Australia","Queensland","Long Pocket","[""4850""]"
"India","Rajasthan, Jaipur","Sinodia","[""303008""]"
"Mexico","Sonora","El Mojino","[""83397""]"
"Russian Federation","Ulyanovskaya Oblast","Surulovka","[""433861""]"
"Japan","Kyoto Fu, Kyoto Shi","Uzumasa Ichinoicho","[""616-8107""]"
